amount_at_risk,customer_ltv,failure_type,retry_count,days_overdue,previous_successful_payments,previous_recovery_attempts,payment_method,customer_tenure_days,recovered
14285,195848,AUTHENTICATION_FAILURE,1,1,25,3,CARD,809,1
4911,118367,CHECKOUT_ABANDONMENT,0,0,15,0,CARD,584,1
18716,110630,BROKEN_COMMITMENT,0,20,11,0,NACH,674,1
294084,1573726,INSUFFICIENT_FUNDS,2,10,28,0,CARD,733,0
3341,28330,CARD_DECLINED,0,1,1,1,NETBANKING,64,1
71548,747854,CARD_DECLINED,1,5,19,0,CARD,805,1
66004,516016,CHECKOUT_ABANDONMENT,2,0,26,0,UPI,977,1
87605,598515,AUTHENTICATION_FAILURE,0,0,12,0,CARD,285,1
105214,691637,AUTHENTICATION_FAILURE,0,1,15,0,CARD,569,1
1034,52988,CARD_DECLINED,0,0,14,1,NETBANKING,676,1
44422,528633,AUTHENTICATION_FAILURE,0,0,21,0,NETBANKING,701,1
45938,309863,AUTHENTICATION_FAILURE,0,1,30,0,NACH,1031,1
1849,288581,CARD_DECLINED,3,3,28,0,CARD,988,1
10120,37108,CHECKOUT_ABANDONMENT,1,0,0,0,UPI,20,1
82937,679578,CARD_DECLINED,4,0,18,1,CARD,728,1
30619,182888,CHECKOUT_ABANDONMENT,3,1,29,0,CARD,798,0
14516,314028,CARD_DECLINED,0,1,29,1,NETBANKING,1060,1
205063,2375168,CHECKOUT_ABANDONMENT,0,0,15,1,UPI,577,1
78663,574990,AUTHENTICATION_FAILURE,1,0,27,0,UPI,980,1
76599,635770,AUTHENTICATION_FAILURE,1,0,7,0,UPI,249,0
70677,282595,CARD_DECLINED,1,3,15,1,UPI,458,1
16151,41023,INVOICE_OVERDUE,0,8,3,0,UPI,140,1
18624,245511,INVOICE_OVERDUE,0,3,13,0,UPI,421,1
51660,700361,BROKEN_COMMITMENT,0,3,10,0,NETBANKING,606,1
5125,320884,CARD_DECLINED,1,3,30,0,CARD,931,0
5894,351962,INVOICE_OVERDUE,2,17,16,0,CARD,857,0
13485,182090,AUTHENTICATION_FAILURE,3,2,12,0,CARD,437,1
78326,386773,AUTHENTICATION_FAILURE,3,0,21,0,UPI,871,0
23089,212572,RECURRING_PAYMENT_FAILURE,0,0,7,0,UPI,106,1
183398,414463,AUTHENTICATION_FAILURE,1,0,18,3,CARD,549,1
13094,166014,BROKEN_COMMITMENT,1,27,11,0,CARD,257,1
7223,85828,GATEWAY_ERROR,1,3,9,1,NACH,398,1
716902,2500000,INSUFFICIENT_FUNDS,0,6,21,0,NACH,1045,1
1317,394322,GATEWAY_ERROR,3,4,31,0,UPI,953,1
554630,2500000,CARD_DECLINED,1,3,8,1,CARD,263,1
710,79440,INSUFFICIENT_FUNDS,1,1,13,1,NETBANKING,395,1
210305,1545343,INSUFFICIENT_FUNDS,0,2,29,0,NACH,1020,1
455471,1594002,AUTHENTICATION_FAILURE,0,0,12,0,CARD,739,1
7799,266880,CHECKOUT_ABANDONMENT,3,1,11,1,CARD,764,1
7525,185578,RECURRING_PAYMENT_FAILURE,1,0,25,0,CARD,685,1
8222,86186,AUTHENTICATION_FAILURE,0,0,8,1,CARD,278,1
9865,302290,CHECKOUT_ABANDONMENT,0,0,13,0,CARD,634,1
13503,114371,GATEWAY_ERROR,4,1,3,1,CARD,102,1
11657,100265,INSUFFICIENT_FUNDS,1,0,5,0,CARD,217,1
14854,199235,CHECKOUT_ABANDONMENT,1,0,11,1,UPI,364,1
2881,233743,CARD_DECLINED,2,1,23,0,NETBANKING,898,1
55217,653419,INSUFFICIENT_FUNDS,0,2,9,0,NETBANKING,266,1
75996,712927,AUTHENTICATION_FAILURE,0,0,31,0,NETBANKING,966,1
66291,583148,CARD_DECLINED,1,7,19,2,CARD,767,1
16448,423785,CHECKOUT_ABANDONMENT,0,0,27,0,NACH,961,1
794176,2334464,RECURRING_PAYMENT_FAILURE,2,7,14,0,CARD,504,0
5335,204367,CARD_DECLINED,1,4,9,0,CARD,447,1
48514,512351,CHECKOUT_ABANDONMENT,0,0,40,0,CARD,1007,1
31792,231623,AUTHENTICATION_FAILURE,0,0,31,0,UPI,989,1
8614,93723,BROKEN_COMMITMENT,1,4,2,1,CARD,183,1
10242,38437,AUTHENTICATION_FAILURE,0,0,0,1,UPI,36,0
46774,283606,INVOICE_OVERDUE,0,2,21,2,CARD,739,1
9059,131911,INSUFFICIENT_FUNDS,3,1,8,0,CARD,305,1
2520,245099,AUTHENTICATION_FAILURE,3,0,18,0,CARD,920,1
659,65221,CHECKOUT_ABANDONMENT,0,0,4,0,UPI,163,1
9245,94100,CARD_DECLINED,1,1,6,0,UPI,281,1
11678,66362,INSUFFICIENT_FUNDS,0,1,5,0,UPI,130,0
14278,168525,INVOICE_OVERDUE,1,20,15,0,UPI,498,0
129570,1541438,INSUFFICIENT_FUNDS,1,0,18,3,NETBANKING,780,0
83963,723919,AUTHENTICATION_FAILURE,0,0,16,0,UPI,931,1
78257,761312,CHECKOUT_ABANDONMENT,2,0,14,0,CARD,360,1
2101,70817,AUTHENTICATION_FAILURE,4,0,10,1,CARD,399,0
64072,788615,BROKEN_COMMITMENT,1,12,3,1,UPI,196,0
14551,551039,AUTHENTICATION_FAILURE,1,1,20,0,CARD,973,1
22318,187901,INVOICE_OVERDUE,2,24,28,0,NACH,967,1
4266,91225,AUTHENTICATION_FAILURE,2,0,21,0,UPI,799,1
36362,630484,INVOICE_OVERDUE,2,15,29,1,NETBANKING,968,0
13272,349458,AUTHENTICATION_FAILURE,0,0,26,0,CARD,960,1
9693,146375,RECURRING_PAYMENT_FAILURE,0,9,18,0,UPI,600,1
8941,97447,INVOICE_OVERDUE,2,42,6,0,NACH,390,0
4467,254641,AUTHENTICATION_FAILURE,0,0,20,1,UPI,1096,1
213293,2500000,CHECKOUT_ABANDONMENT,4,0,12,0,CARD,484,0
92455,1051433,RECURRING_PAYMENT_FAILURE,1,4,3,1,NETBANKING,216,1
2315,105031,INSUFFICIENT_FUNDS,0,2,25,0,CARD,758,1
10577,163020,INSUFFICIENT_FUNDS,4,0,19,1,CARD,948,0
15781,139254,CARD_DECLINED,0,0,9,2,CARD,369,1
635565,2500000,AUTHENTICATION_FAILURE,2,0,23,0,NETBANKING,884,0
1375,104866,AUTHENTICATION_FAILURE,0,0,11,0,NACH,283,1
74416,467541,GATEWAY_ERROR,1,6,12,0,CARD,476,0
416290,2500000,AUTHENTICATION_FAILURE,2,0,9,2,UPI,315,1
28081,389565,CHECKOUT_ABANDONMENT,0,1,9,0,CARD,439,1
12518,179680,CHECKOUT_ABANDONMENT,0,0,15,0,CARD,482,1
254380,1111585,INSUFFICIENT_FUNDS,0,0,4,0,NACH,136,0
103704,1221887,INSUFFICIENT_FUNDS,1,2,21,0,UPI,1047,1
170425,1312976,AUTHENTICATION_FAILURE,3,1,22,1,UPI,744,0
17430,446287,AUTHENTICATION_FAILURE,1,0,20,3,UPI,1025,1
74075,584646,CHECKOUT_ABANDONMENT,2,1,25,0,NETBANKING,968,1
5206,150351,CARD_DECLINED,0,0,8,1,CARD,412,1
13018,119113,CARD_DECLINED,1,1,16,1,CARD,578,1
91441,326923,CHECKOUT_ABANDONMENT,3,0,0,2,NETBANKING,34,0
4630,129053,CARD_DECLINED,0,3,7,0,UPI,348,1
462659,2500000,CHECKOUT_ABANDONMENT,2,0,31,0,NACH,889,0
365066,2500000,RECURRING_PAYMENT_FAILURE,0,3,7,0,CARD,272,1
58735,397826,INSUFFICIENT_FUNDS,1,0,7,0,NACH,266,1
243900,1009906,AUTHENTICATION_FAILURE,2,0,13,0,UPI,365,0
10505,94394,INSUFFICIENT_FUNDS,1,1,10,0,UPI,233,1
71699,343428,CARD_DECLINED,1,8,1,0,CARD,54,0
88551,1248111,AUTHENTICATION_FAILURE,2,0,13,2,NACH,554,1
6343,90539,GATEWAY_ERROR,0,5,8,0,UPI,203,1
2459,428809,INSUFFICIENT_FUNDS,0,2,20,0,CARD,1059,1
